[ 2025-11-29 19:31:48,388 ] 16 root - INFO - Initiate the data ingestion
[ 2025-11-29 19:31:50,270 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-11-29 19:31:50,270 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-29 19:31:50,271 ] 74 root - INFO - Exporting train and test file path.
[ 2025-11-29 19:31:50,340 ] 83 root - INFO - Exported train and test file path.
[ 2025-11-29 19:31:50,340 ] 18 root - INFO - Data Initiation Completed
[ 2025-11-29 19:31:50,345 ] 22 root - INFO - Initiate the data Validation
[ 2025-11-29 19:31:50,396 ] 32 root - INFO - Required number of columns:2
[ 2025-11-29 19:31:50,397 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-29 19:31:50,397 ] 32 root - INFO - Required number of columns:2
[ 2025-11-29 19:31:50,397 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-29 19:31:50,551 ] 24 root - INFO - Data Validation Completed
[ 2025-11-29 19:31:50,551 ] 27 root - INFO - Data Transformation Started
[ 2025-11-29 19:31:50,551 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-29 19:31:50,551 ] 65 root - INFO - Starting data transformation
[ 2025-11-29 19:31:50,573 ] 48 root - INFO - Entered get_data_trnasformer_object method of Transformation class
[ 2025-11-29 19:31:50,573 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-29 19:31:50,585 ] 42 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 19:31:50,587 ] 46 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 19:31:50,587 ] 42 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 19:31:50,589 ] 46 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 19:31:50,590 ] 31 root - INFO - Data Transformation Completed
